SRforSCF_03.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
10100, 0, 0, 1
10101, 0, 0, 1
10102, 0, 0, 1
10103, 0, 0, 1
10104, 0, 0, 1
10105, 0, 0, 1
10106, 0, 0, 1
10107, 2, 5, 1
10108, 38, 33, 1
10109, 31, 62, 1
10110, 19, 79, 1
10111, 69, 131, 1
10112, 657, 76, 1
10113, 358, 122, 1
10114, 55, 86, 1
10115, 55, 48, 1
10116, 19, 10, 1
10117, 0, 0, 1
10118, 0, 0, 1
10119, 0, 0, 1
10120, 0, 0, 1
10121, 0, 0, 1
10122, 0, 0, 1
10123, 0, 0, 1
10124, 0, 0, 1
10201, 0, 0, 1
10202, 0, 0, 1
10203, 0, 0, 1
10204, 0, 0, 1
10205, 0, 0, 1
10206, 0, 0, 1
10207, 2, 2, 1
10208, 84, 41, 1
10209, 440, 74, 1
10210, 466, 98, 1
10211, 449, 117, 1
10212, 521, 105, 1
10213, 437, 110, 1
10214, 306, 98, 1
10215, 24, 38, 1
10216, 2, 5, 1
10217, 0, 0, 1
10218, 0, 0, 1
10219, 0, 0, 1
10220, 0, 0, 1
10221, 0, 0, 1
10222, 0, 0, 1
10223, 0, 0, 1
10224, 0, 0, 1
10301, 0, 0, 1
10302, 0, 0, 1
10303, 0, 0, 1
10304, 0, 0, 1
10305, 0, 0, 1
10306, 0, 0, 1
10307, 2, 5, 1
10308, 194, 45, 1
10309, 127, 88, 1
10310, 401, 110, 1
10311, 26, 103, 1
10312, 5, 67, 1
10313, 0, 41, 1
10314, 5, 29, 1
10315, 0, 12, 1
10316, 2, 2, 1
10317, 0, 0, 1
10318, 0, 0, 1
10319, 0, 0, 1
10320, 0, 0, 1
10321, 0, 0, 1
10322, 0, 0, 1
10323, 0, 0, 1
10324, 0, 0, 1
10401, 0, 0, 1
10402, 0, 0, 1
10403, 0, 0, 1
10404, 0, 0, 1
10405, 0, 0, 1
10406, 0, 0, 1
10407, 2, 5, 1
10408, 41, 33, 1
10409, 19, 57, 1
10410, 69, 112, 1
10411, 158, 148, 1
10412, 79, 139, 1
10413, 475, 105, 1
10414, 409, 88, 1
10415, 275, 60, 1
10416, 74, 12, 1
10417, 0, 0, 1
10418, 0, 0, 1
10419, 0, 0, 1
10420, 0, 0, 1
10421, 0, 0, 1
10422, 0, 0, 1
10423, 0, 0, 1
10424, 0, 0, 1
10501, 0, 0, 1
10502, 0, 0, 1
10503, 0, 0, 1
10504, 0, 0, 1
10505, 0, 0, 1
10506, 0, 0, 1
10507, 2, 5, 1
10508, 45, 36, 1
10509, 119, 88, 1
10510, 177, 129, 1
10511, 117, 146, 1
10512, 91, 143, 1
10513, 428, 112, 1
10514, 432, 86, 1
10515, 323, 57, 1
10516, 217, 14, 1
10517, 0, 0, 1
10518, 0, 0, 1
10519, 0, 0, 1
10520, 0, 0, 1
10521, 0, 0, 1
10522, 0, 0, 1
10523, 0, 0, 1
10524, 0, 0, 1
10601, 0, 0, 1
10602, 0, 0, 1
10603, 0, 0, 1
10604, 0, 0, 1
10605, 0, 0, 1
10606, 0, 0, 1
10607, 2, 2, 1
10608, 10, 22, 1
10609, 14, 48, 1
10610, 14, 74, 1
10611, 17, 84, 1
10612, 12, 84, 1
10613, 7, 67, 1
10614, 10, 50, 1
10615, 17, 36, 1
10616, 60, 14, 1
10617, 0, 0, 1
10618, 0, 0, 1
10619, 0, 0, 1
10620, 0, 0, 1
10621, 0, 0, 1
10622, 0, 0, 1
10623, 0, 0, 1
10624, 0, 0, 1
10701, 0, 0, 1
10702, 0, 0, 1
10703, 0, 0, 1
10704, 0, 0, 1
10705, 0, 0, 1
10706, 0, 0, 1
10707, 2, 2, 1
10708, 60, 38, 1
10709, 96, 86, 1
10710, 490, 96, 1
10711, 726, 60, 1
10712, 628, 84, 1
10713, 74, 124, 1
10714, 84, 98, 1
10715, 189, 65, 1
10716, 98, 17, 1
10717, 0, 0, 1
10718, 0, 0, 1
10719, 0, 0, 1
10720, 0, 0, 1
10721, 0, 0, 1
10722, 0, 0, 1
10723, 0, 0, 1
10724, 0, 0, 1
10801, 0, 0, 1
10802, 0, 0, 1
10803, 0, 0, 1
10804, 0, 0, 1
10805, 0, 0, 1
10806, 0, 0, 1
10807, 2, 5, 1
10808, 306, 43, 1
10809, 452, 72, 1
10810, 497, 96, 1
10811, 566, 96, 1
10812, 495, 115, 1
10813, 191, 141, 1
10814, 108, 103, 1
10815, 108, 62, 1
10816, 88, 17, 1
10817, 0, 0, 1
10818, 0, 0, 1
10819, 0, 0, 1
10820, 0, 0, 1
10821, 0, 0, 1
10822, 0, 0, 1
10823, 0, 0, 1
10824, 0, 0, 1
10901, 0, 0, 1
10902, 0, 0, 1
10903, 0, 0, 1
10904, 0, 0, 1
10905, 0, 0, 1
10906, 0, 0, 1
10907, 2, 2, 1
10908, 31, 33, 1
10909, 36, 69, 1
10910, 31, 91, 1
10911, 88, 141, 1
10912, 62, 136, 1
10913, 50, 115, 1
10914, 24, 72, 1
10915, 26, 45, 1
10916, 41, 14, 1
10917, 0, 0, 1
10918, 0, 0, 1
10919, 0, 0, 1
10920, 0, 0, 1
10921, 0, 0, 1
10922, 0, 0, 1
10923, 0, 0, 1
10924, 0, 0, 1
11001, 0, 0, 1
11002, 0, 0, 1
11003, 0, 0, 1
11004, 0, 0, 1
11005, 0, 0, 1
11006, 0, 0, 1
11007, 10, 7, 1
11008, 320, 43, 1
11009, 428, 76, 1
11010, 495, 96, 1
11011, 535, 105, 1
11012, 554, 103, 1
11013, 569, 91, 1
11014, 420, 91, 1
11015, 225, 67, 1
11016, 148, 19, 1
11017, 0, 0, 1
11018, 0, 0, 1
11019, 0, 0, 1
11020, 0, 0, 1
11021, 0, 0, 1
11022, 0, 0, 1
11023, 0, 0, 1
11024, 0, 0, 1
11101, 0, 0, 1
11102, 0, 0, 1
11103, 0, 0, 1
11104, 0, 0, 1
11105, 0, 0, 1
11106, 0, 0, 1
11107, 10, 7, 1
11108, 141, 45, 1
11109, 248, 91, 1
11110, 69, 115, 1
11111, 232, 153, 1
11112, 98, 151, 1
11113, 127, 141, 1
11114, 198, 112, 1
11115, 112, 65, 1
11116, 84, 17, 1
11117, 0, 0, 1
11118, 0, 0, 1
11119, 0, 0, 1
11120, 0, 0, 1
11121, 0, 0, 1
11122, 0, 0, 1
11123, 0, 0, 1
11124, 0, 0, 1
11201, 0, 0, 1
11202, 0, 0, 1
11203, 0, 0, 1
11204, 0, 0, 1
11205, 0, 0, 1
11206, 0, 0, 1
11207, 2, 2, 1
11208, 48, 38, 1
11209, 86, 86, 1
11210, 165, 131, 1
11211, 339, 143, 1
11212, 308, 151, 1
11213, 91, 134, 1
11214, 208, 112, 1
11215, 349, 62, 1
11216, 72, 19, 1
11217, 0, 0, 1
11218, 0, 0, 1
11219, 0, 0, 1
11220, 0, 0, 1
11221, 0, 0, 1
11222, 0, 0, 1
11223, 0, 0, 1
11224, 0, 0, 1
11301, 0, 0, 1
11302, 0, 0, 1
11303, 0, 0, 1
11304, 0, 0, 1
11305, 0, 0, 1
11306, 0, 0, 1
11307, 10, 7, 1
11308, 189, 48, 1
11309, 198, 96, 1
