Axm_case,  X1,  X2,  X3,  X1yp,  X1ym,  X3yp,  X3ym,  Y1,  Y2,  Y3,  Y1xp,  Y1xm,  Y3xp,  Y3xm,  Zxp,  Zxm,  Zyp,  Zym,  Azw,  hs, Axp
1, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0, 0, 0.2, 89, 10, 4.305
2, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 89, 1, 6.66133814775094E-16
3, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 85, 1, 0.526414267041419
4, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 45, 1, 4.305
5, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 30, 1, 4.305
6, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 1, 1, 4.305
7, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 89, 10, 1.88737914186277E-15
8, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 85, 10, 0.526414267041418
9, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 45, 10, 4.305
10, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 30, 10, 4.305
11, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 1, 10, 4.305
12, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 89, 30, 0.0413341373543166
13, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 85, 30, 0.484530517477109
14, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 45, 30, 4.305
15, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 30, 30, 4.305
16, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 1, 30, 4.305
17, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 89, 60, 0.0466314443660587
18, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 85, 60, 0.0463909860445386
19, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 45, 60, 4.305
20, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 30, 60, 4.305
21, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 1, 60, 4.305
22, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 89, 85, 0
23, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 85, 85, 9.99200722162641E-16
24, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 45, 85, 9.95731275210687E-16
25, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 30, 85, 0.542555191463623
26, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 1, 85, 1.32157910166076
27, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 89, 89, 0
28, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 85, 89, 0
29, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 45, 89, 0
30, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 30, 89, 0
31, 0.9, 2.1, 1.1, 0.88, 0.85, 1.05, 1.07, 0.98, 2.05, 1.02, 0.92, 0.96, 0.97, 1.01, 0.28, 0.24, 0.21, 0.2, 1, 89, 6.6266436782314E-16
