Azwjdt_case, Azwj, Latitude, Longitude, NDay, TT, AzwjdtA
1, -157.5, 35, 135, 174, 5, 39.7118190876067
2, -157.5, 35, 135, 174, 7, 55.1951929811296
3, -157.5, 35, 135, 174, 9, 71.2842365644647
4, -157.5, 35, 135, 174, 10.8, 98.3437951604883
5, -157.5, 35, 135, 174, 11.5, 124.546617000157
6, -157.5, 35, 135, 174, 12, 155.560285922006
7, -157.5, 35, 135, 174, 12.5, -172.541966620441
8, -157.5, 35, 135, 174, 13.2, -144.858764874098
9, -157.5, 35, 135, 174, 15, -116.827030912935
10, -157.5, 35, 135, 174, 17, -100.612908300115
11, -157.5, 35, 135, 174, 19, -85.1864667792661
12, -135, 35, 135, 174, 5, 17.2118190876067
13, -135, 35, 135, 174, 7, 32.6951929811296
14, -135, 35, 135, 174, 9, 48.7842365644647
15, -135, 35, 135, 174, 10.8, 75.8437951604883
16, -135, 35, 135, 174, 11.5, 102.046617000157
17, -135, 35, 135, 174, 12, 133.060285922006
18, -135, 35, 135, 174, 12.5, 164.958033379559
19, -135, 35, 135, 174, 13.2, -167.358764874098
20, -135, 35, 135, 174, 15, -139.327030912935
21, -135, 35, 135, 174, 17, -123.112908300115
22, -135, 35, 135, 174, 19, -107.686466779266
23, -112.5, 35, 135, 174, 5, -5.28818091239327
24, -112.5, 35, 135, 174, 7, 10.1951929811296
25, -112.5, 35, 135, 174, 9, 26.2842365644647
26, -112.5, 35, 135, 174, 10.8, 53.3437951604883
27, -112.5, 35, 135, 174, 11.5, 79.5466170001575
28, -112.5, 35, 135, 174, 12, 110.560285922006
29, -112.5, 35, 135, 174, 12.5, 142.458033379559
30, -112.5, 35, 135, 174, 13.2, 170.141235125902
31, -112.5, 35, 135, 174, 15, -161.827030912935
32, -112.5, 35, 135, 174, 17, -145.612908300115
33, -112.5, 35, 135, 174, 19, -130.186466779266
34, -90, 35, 135, 174, 5, -27.7881809123933
35, -90, 35, 135, 174, 7, -12.3048070188704
36, -90, 35, 135, 174, 9, 3.78423656446469
37, -90, 35, 135, 174, 10.8, 30.8437951604883
38, -90, 35, 135, 174, 11.5, 57.0466170001575
39, -90, 35, 135, 174, 12, 88.0602859220057
40, -90, 35, 135, 174, 12.5, 119.958033379559
41, -90, 35, 135, 174, 13.2, 147.641235125902
42, -90, 35, 135, 174, 15, 175.672969087065
43, -90, 35, 135, 174, 17, -168.112908300115
44, -90, 35, 135, 174, 19, -152.686466779266
45, -67.5, 35, 135, 174, 5, -50.2881809123933
46, -67.5, 35, 135, 174, 7, -34.8048070188704
47, -67.5, 35, 135, 174, 9, -18.7157634355353
48, -67.5, 35, 135, 174, 10.8, 8.34379516048832
49, -67.5, 35, 135, 174, 11.5, 34.5466170001575
50, -67.5, 35, 135, 174, 12, 65.5602859220057
51, -67.5, 35, 135, 174, 12.5, 97.4580333795592
52, -67.5, 35, 135, 174, 13.2, 125.141235125902
53, -67.5, 35, 135, 174, 15, 153.172969087065
54, -67.5, 35, 135, 174, 17, 169.387091699885
55, -67.5, 35, 135, 174, 19, -175.186466779266
56, -45, 35, 135, 174, 5, -72.7881809123933
57, -45, 35, 135, 174, 7, -57.3048070188704
58, -45, 35, 135, 174, 9, -41.2157634355353
59, -45, 35, 135, 174, 10.8, -14.1562048395117
60, -45, 35, 135, 174, 11.5, 12.0466170001575
61, -45, 35, 135, 174, 12, 43.0602859220057
62, -45, 35, 135, 174, 12.5, 74.9580333795592
