eed_case, Nday, eedA
1, 1, -0.0516296567221296
2, 2, -0.059293083166167
3, 15, -0.149282411174635
4, 32, -0.224621354224558
5, 60, -0.21423441507526
6, 79, -0.132609459530863
7, 80, -0.12748226834524
8, 81, -0.122317504502895
9, 82, -0.117121799074484
10, 91, -0.0700483846897413
11, 121, 0.046799318754522
12, 152, 0.0383706450628918
13, 172, -0.0215003587816941
14, 173, -0.0248593599135263
15, 174, -0.0282148264567765
16, 175, -0.0315613964669178
17, 176, -0.0348937123293562
18, 182, -0.0542902421772933
19, 213, -0.103792119700829
20, 244, -0.0121477790851216
21, 266, 0.11710419048573
22, 267, 0.123220862115345
23, 268, 0.129306188018919
24, 274, 0.164776909809512
25, 305, 0.274034978566676
26, 335, 0.187871907920495
27, 354, 0.0515308973688332
28, 355, 0.0435684395337213
29, 356, 0.0355811375299056
30, 357, 0.027577005108217
31, 358, 0.0195640702413589
32, 359, 0.0115503651210609
33, 364, -0.0282495520379225
34, 365, -0.0361002251183698
