etajdt_case, Azwjdt, cosh, 1, cosÉ∆, cos2É∆, cos3É∆, cos4É∆, cos5É∆, cos6É∆, cos7É∆, etajdtA
1, 39.0963938900912, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
2, 54.5149243564668, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
3, 70.2214953067478, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
4, 96.5318925231103, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
5, 120.102495995861, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
6, 150.423368728092, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
7, -175.907282703008, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
8, -147.048720453037, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
9, -117.118665365745, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
10, -100.982439747779, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
11, -85.7725561479606, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
12, 16.5963938900912, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
13, 32.0149243564668, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
14, 47.7214953067478, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
15, 74.0318925231103, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
16, 97.6024959958609, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
17, 127.923368728092, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
18, 161.592717296992, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
19, -169.548720453037, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
20, -139.618665365745, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
21, -123.482439747779, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
22, -108.272556147961, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
23, -5.90360610990876, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
24, 9.51492435646685, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
25, 25.2214953067478, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
26, 51.5318925231103, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
27, 75.1024959958609, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
28, 105.423368728092, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
29, 139.092717296992, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
30, 167.951279546963, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
31, -162.118665365745, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
32, -145.982439747779, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
33, -130.772556147961, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
34, -28.4036061099088, 0.999927965194223, 1, 0, 0, 0, 0, 0, 0, 0, 1
35, -12.9850756435332, 0.915435031932259, 1, 0, 0, 0, 0, 0, 0, 0, 1
36, 2.72149530674778, 0.666230676096435, 1, 0, 0, 0, 0, 0, 0, 0, 1
37, 29.0318925231103, 0.341665799182358, 1, 0, 0, 0, 0, 0, 0, 0, 1
38, 52.6024959958609, 0.23641266566412, 1, 0, 0, 0, 0, 0, 0, 0, 1
39, 82.9233687280915, 0.1955554299612, 1, 0, 0, 0, 0, 0, 0, 0, 1
40, 116.592717296992, 0.214035015451868, 1, 0, 0, 0, 0, 0, 0, 0, 1
41, 145.451279546963, 0.3069066456076, 1, 0, 0, 0, 0, 0, 0, 0, 1
42, 175.381334634255, 0.633465372381997, 1, 0, 0, 0, 0, 0, 0, 0, 1
